"ecosystem_type","geographic_scope","survey_period","site","pa_name","pa_type","condition_indicator","unit","measured_value","condition_index","reference_level","confidence","note"
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Turtle Reef","Watamu Marine Park","No-take MPA","Healthy coral colonies","% colonies",95.833,1,"95% healthy (non-bleaching year baseline)","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Turtle Reef","Watamu Marine Park","No-take MPA","Live hard coral cover","%",19.6,0.653,">30% (GCRMN 2021; Obura et al. 2022)","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Uyombo","Unprotected","Open access","Fish biomass","kg/ha",328.451,0.286,"1,150 kg/ha WIO conservation target (McClanahan et al. 2016)","HIGH","[PENDING] transect area assumed 250 m2"
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Uyombo","Unprotected","Open access","Fish species richness","species count",14.5,0.744,"Max observed in dataset","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Uyombo","Unprotected","Open access","Live hard coral cover","%",30.4,1,">30% (GCRMN 2021; Obura et al. 2022)","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Watamu Coral Garden","Watamu Marine Park","No-take MPA","Bleached coral colonies","% colonies",0,1,"<5% background (Hoegh-Guldberg 1999)","MEDIUM","Jul 2025 data = post-2024 bleaching event; interpret with caution"
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Watamu Coral Garden","Watamu Marine Park","No-take MPA","Coral recruit density","recruits/m2",0,0,"1-3 recruits/m2 (WIO healthy; Hughes et al. 2010)","LOW-MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Watamu Coral Garden","Watamu Marine Park","No-take MPA","Diseased coral colonies","% colonies",0,1,"<2% background (Bourne et al. 2009)","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Watamu Coral Garden","Watamu Marine Park","No-take MPA","Fish biomass","kg/ha",1074.557,0.934,"1,150 kg/ha WIO conservation target (McClanahan et al. 2016)","HIGH","[PENDING] transect area assumed 250 m2"
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Watamu Coral Garden","Watamu Marine Park","No-take MPA","Fish species richness","species count",19,0.974,"Max observed in dataset","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Watamu Coral Garden","Watamu Marine Park","No-take MPA","Healthy coral colonies","% colonies",91.489,0.963,"95% healthy (non-bleaching year baseline)","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Watamu Coral Garden","Watamu Marine Park","No-take MPA","Live hard coral cover","%",22.48,0.749,">30% (GCRMN 2021; Obura et al. 2022)","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Wesa","Unprotected","Open access","Bleached coral colonies","% colonies",0,1,"<5% background (Hoegh-Guldberg 1999)","MEDIUM","Jul 2025 data = post-2024 bleaching event; interpret with caution"
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Wesa","Unprotected","Open access","Coral recruit density","recruits/m2",0.142,0.142,"1-3 recruits/m2 (WIO healthy; Hughes et al. 2010)","LOW-MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Wesa","Unprotected","Open access","Diseased coral colonies","% colonies",0,1,"<2% background (Bourne et al. 2009)","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Wesa","Unprotected","Open access","Healthy coral colonies","% colonies",100,1,"95% healthy (non-bleaching year baseline)","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Wesa 1","Unprotected","Open access","Fish biomass","kg/ha",96.618,0.084,"1,150 kg/ha WIO conservation target (McClanahan et al. 2016)","HIGH","[PENDING] transect area assumed 250 m2"
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Wesa 1","Unprotected","Open access","Fish species richness","species count",12.5,0.641,"Max observed in dataset","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Wesa 2","Unprotected","Open access","Fish biomass","kg/ha",152.332,0.132,"1,150 kg/ha WIO conservation target (McClanahan et al. 2016)","HIGH","[PENDING] transect area assumed 250 m2"
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Wesa 2","Unprotected","Open access","Fish species richness","species count",11,0.564,"Max observed in dataset","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Whale island/Uyombo","Watamu Marine Park","No-take MPA","Bleached coral colonies","% colonies",0,1,"<5% background (Hoegh-Guldberg 1999)","MEDIUM","Jul 2025 data = post-2024 bleaching event; interpret with caution"
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Whale island/Uyombo","Watamu Marine Park","No-take MPA","Coral recruit density","recruits/m2",0.142,0.142,"1-3 recruits/m2 (WIO healthy; Hughes et al. 2010)","LOW-MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Whale island/Uyombo","Watamu Marine Park","No-take MPA","Diseased coral colonies","% colonies",0,1,"<2% background (Bourne et al. 2009)","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Whale island/Uyombo","Watamu Marine Park","No-take MPA","Healthy coral colonies","% colonies",85.393,0.899,"95% healthy (non-bleaching year baseline)","MEDIUM",NA
