"Sites","Variable","Opening_Year","Opening_Value","Closing_Year","Closing_Value","Absolute_Change","Percent_Change","Unit"
"MOROMBE","Fish abundance (total)",2025,NA,2026,4553.33333333333,NA,NA,"ind/ha"
"NOSY SATRA","Fish abundance (total)",2025,5040,2026,NA,NA,NA,"ind/ha"
"RATAFENJIKA","Fish abundance (total)",2025,NA,2026,3970,NA,NA,"ind/ha"
"RETSELA","Fish abundance (total)",2025,20380,2026,NA,NA,NA,"ind/ha"
"SALARY","Fish abundance (total)",2025,NA,2026,9230,NA,NA,"ind/ha"
"TANILAHY","Fish abundance (total)",2025,11480,2026,NA,NA,NA,"ind/ha"
"TSANDAMBA","Fish abundance (total)",2025,NA,2026,15720,NA,NA,"ind/ha"
"AMBATOMILO","Fish biomass (total)",2025,NA,2026,199.382561674946,NA,NA,"kg/ha"
"AMBITIKY","Fish biomass (total)",2025,1882.64277600716,2026,NA,NA,NA,"kg/ha"
"AMBOHIBOLA","Fish biomass (total)",2025,1008.69799420001,2026,NA,NA,NA,"kg/ha"
"AMBOLA","Fish biomass (total)",2025,732.66952675501,2026,NA,NA,NA,"kg/ha"
"AMBOLAFOTY","Fish biomass (total)",2025,842.91229552624,2026,NA,NA,NA,"kg/ha"
"AMPASINDAVA","Fish biomass (total)",2025,NA,2026,243.269861713592,NA,NA,"kg/ha"
"ANAKAO","Fish biomass (total)",2025,653.461790023508,2026,NA,NA,NA,"kg/ha"
"ANDAVADOAKY","Fish biomass (total)",2025,NA,2026,756.246240871576,NA,NA,"kg/ha"
"ANDRAVONA","Fish biomass (total)",2025,NA,2026,857.884438716258,NA,NA,"kg/ha"
"ANKARAMIFIOKY","Fish biomass (total)",2025,NA,2026,1290.63952114558,NA,NA,"kg/ha"
"BEFASY","Fish biomass (total)",2025,253.867171565536,2026,NA,NA,NA,"kg/ha"
"BEHELOKY","Fish biomass (total)",2025,1506.24950232638,2026,NA,NA,NA,"kg/ha"
"BELAVENOKY","Fish biomass (total)",2025,NA,2026,947.144264160864,NA,NA,"kg/ha"
"BEVATO","Fish biomass (total)",2025,NA,2026,665.078342930891,NA,NA,"kg/ha"
"FIERENAMASAY","Fish biomass (total)",2025,NA,2026,345.10162426643,NA,NA,"kg/ha"
"FITSITIKA","Fish biomass (total)",2025,248.374085503546,2026,NA,NA,NA,"kg/ha"
"IFATY","Fish biomass (total)",2025,240.267469766608,2026,NA,NA,NA,"kg/ha"
"ITAMPOLO","Fish biomass (total)",2025,846.970836437474,2026,NA,NA,NA,"kg/ha"
"MANGILY","Fish biomass (total)",2025,339.742862635279,2026,NA,NA,NA,"kg/ha"
"MAROMENA","Fish biomass (total)",2025,441.154448899092,2026,NA,NA,NA,"kg/ha"
"MOROMBE","Fish biomass (total)",2025,NA,2026,386.550326680569,NA,NA,"kg/ha"
"NOSY SATRA","Fish biomass (total)",2025,337.520707332341,2026,NA,NA,NA,"kg/ha"
"RATAFENJIKA","Fish biomass (total)",2025,NA,2026,306.354428201221,NA,NA,"kg/ha"
"RETSELA","Fish biomass (total)",2025,1573.83449292836,2026,NA,NA,NA,"kg/ha"
"SALARY","Fish biomass (total)",2025,NA,2026,1391.3759688212,NA,NA,"kg/ha"
"TANILAHY","Fish biomass (total)",2025,664.982064323343,2026,NA,NA,NA,"kg/ha"
"TSANDAMBA","Fish biomass (total)",2025,NA,2026,1131.62734581326,NA,NA,"kg/ha"
"AMBATOMILO","Fish species richness",2025,NA,2026,34,NA,NA,"count"
"AMBITIKY","Fish species richness",2025,52,2026,NA,NA,NA,"count"
"AMBOHIBOLA","Fish species richness",2025,53,2026,NA,NA,NA,"count"
"AMBOLA","Fish species richness",2025,70,2026,NA,NA,NA,"count"
"AMBOLAFOTY","Fish species richness",2025,30,2026,NA,NA,NA,"count"
"AMPASINDAVA","Fish species richness",2025,NA,2026,25,NA,NA,"count"
"ANAKAO","Fish species richness",2025,51,2026,NA,NA,NA,"count"
"ANDAVADOAKY","Fish species richness",2025,NA,2026,100,NA,NA,"count"
"ANDRAVONA","Fish species richness",2025,NA,2026,38,NA,NA,"count"
"ANKARAMIFIOKY","Fish species richness",2025,NA,2026,48,NA,NA,"count"
"BEFASY","Fish species richness",2025,27,2026,NA,NA,NA,"count"
"BEHELOKY","Fish species richness",2025,77,2026,NA,NA,NA,"count"
"BELAVENOKY","Fish species richness",2025,NA,2026,103,NA,NA,"count"
"BEVATO","Fish species richness",2025,NA,2026,62,NA,NA,"count"
"FIERENAMASAY","Fish species richness",2025,NA,2026,30,NA,NA,"count"
"FITSITIKA","Fish species richness",2025,54,2026,NA,NA,NA,"count"
"IFATY","Fish species richness",2025,68,2026,NA,NA,NA,"count"
"ITAMPOLO","Fish species richness",2025,68,2026,NA,NA,NA,"count"
"MANGILY","Fish species richness",2025,94,2026,NA,NA,NA,"count"
"MAROMENA","Fish species richness",2025,41,2026,NA,NA,NA,"count"
"MOROMBE","Fish species richness",2025,NA,2026,56,NA,NA,"count"
"NOSY SATRA","Fish species richness",2025,39,2026,NA,NA,NA,"count"
"RATAFENJIKA","Fish species richness",2025,NA,2026,39,NA,NA,"count"
"RETSELA","Fish species richness",2025,70,2026,NA,NA,NA,"count"
"SALARY","Fish species richness",2025,NA,2026,86,NA,NA,"count"
"TANILAHY","Fish species richness",2025,36,2026,NA,NA,NA,"count"
"TSANDAMBA","Fish species richness",2025,NA,2026,49,NA,NA,"count"
"AMBATOMILO","Giant clam abundance",2025,NA,2026,0.75,NA,NA,"count/transect"
"AMBITIKY","Giant clam abundance",2025,3.5,2026,NA,NA,NA,"count/transect"
"AMBOHIBOLA","Giant clam abundance",2025,0,2026,NA,NA,NA,"count/transect"
"AMBOLA","Giant clam abundance",2025,3.25,2026,NA,NA,NA,"count/transect"
"AMBOLAFOTY","Giant clam abundance",2025,0.5,2026,NA,NA,NA,"count/transect"
"AMPASINDAVA","Giant clam abundance",2025,NA,2026,16.5,NA,NA,"count/transect"
"ANAKAO","Giant clam abundance",2025,0,2026,NA,NA,NA,"count/transect"
"ANDAVADOAKY","Giant clam abundance",2025,NA,2026,0.789473684210526,NA,NA,"count/transect"
"ANDRAVONA","Giant clam abundance",2025,NA,2026,8,NA,NA,"count/transect"
"ANKARAMIFIOKY","Giant clam abundance",2025,NA,2026,0,NA,NA,"count/transect"
"BEFASY","Giant clam abundance",2025,0,2026,NA,NA,NA,"count/transect"
"BEHELOKY","Giant clam abundance",2025,0.5,2026,NA,NA,NA,"count/transect"
"BELAVENOKY","Giant clam abundance",2025,NA,2026,0.2,NA,NA,"count/transect"
"BEVATO","Giant clam abundance",2025,NA,2026,0.5,NA,NA,"count/transect"
"FIERENAMASAY","Giant clam abundance",2025,NA,2026,0,NA,NA,"count/transect"
"FITSITIKA","Giant clam abundance",2025,1.8,2026,NA,NA,NA,"count/transect"
"IFATY","Giant clam abundance",2025,0.72,2026,NA,NA,NA,"count/transect"
"ITAMPOLO","Giant clam abundance",2025,3.25,2026,NA,NA,NA,"count/transect"
"MANGILY","Giant clam abundance",2025,0.8,2026,NA,NA,NA,"count/transect"
"MAROMENA","Giant clam abundance",2025,0.5,2026,NA,NA,NA,"count/transect"
"MOROMBE","Giant clam abundance",2025,NA,2026,0.5,NA,NA,"count/transect"
"NOSY SATRA","Giant clam abundance",2025,0,2026,NA,NA,NA,"count/transect"
"RATAFENJIKA","Giant clam abundance",2025,NA,2026,0,NA,NA,"count/transect"
"RETSELA","Giant clam abundance",2025,0.75,2026,NA,NA,NA,"count/transect"
"SALARY","Giant clam abundance",2025,NA,2026,0.75,NA,NA,"count/transect"
"TANILAHY","Giant clam abundance",2025,0,2026,NA,NA,NA,"count/transect"
"TSANDAMBA","Giant clam abundance",2025,NA,2026,0,NA,NA,"count/transect"
"AMBATOMILO","Macroinvertebrate richness",2025,NA,2026,6,NA,NA,"count"
"AMBITIKY","Macroinvertebrate richness",2025,17,2026,NA,NA,NA,"count"
"AMBOHIBOLA","Macroinvertebrate richness",2025,5,2026,NA,NA,NA,"count"
"AMBOLA","Macroinvertebrate richness",2025,17,2026,NA,NA,NA,"count"
"AMBOLAFOTY","Macroinvertebrate richness",2025,7,2026,NA,NA,NA,"count"
"AMPASINDAVA","Macroinvertebrate richness",2025,NA,2026,4,NA,NA,"count"
"ANAKAO","Macroinvertebrate richness",2025,9,2026,NA,NA,NA,"count"
"ANDAVADOAKY","Macroinvertebrate richness",2025,NA,2026,11,NA,NA,"count"
"ANDRAVONA","Macroinvertebrate richness",2025,NA,2026,3,NA,NA,"count"
"ANKARAMIFIOKY","Macroinvertebrate richness",2025,NA,2026,2,NA,NA,"count"
"BEFASY","Macroinvertebrate richness",2025,11,2026,NA,NA,NA,"count"
"BEHELOKY","Macroinvertebrate richness",2025,20,2026,NA,NA,NA,"count"
"BELAVENOKY","Macroinvertebrate richness",2025,NA,2026,8,NA,NA,"count"
"BEVATO","Macroinvertebrate richness",2025,NA,2026,3,NA,NA,"count"
"FIERENAMASAY","Macroinvertebrate richness",2025,NA,2026,2,NA,NA,"count"
"FITSITIKA","Macroinvertebrate richness",2025,7,2026,NA,NA,NA,"count"
"IFATY","Macroinvertebrate richness",2025,12,2026,NA,NA,NA,"count"
"ITAMPOLO","Macroinvertebrate richness",2025,16,2026,NA,NA,NA,"count"
"MANGILY","Macroinvertebrate richness",2025,7,2026,NA,NA,NA,"count"
"MAROMENA","Macroinvertebrate richness",2025,13,2026,NA,NA,NA,"count"
"MOROMBE","Macroinvertebrate richness",2025,NA,2026,10,NA,NA,"count"
"NOSY SATRA","Macroinvertebrate richness",2025,14,2026,NA,NA,NA,"count"
"RATAFENJIKA","Macroinvertebrate richness",2025,NA,2026,5,NA,NA,"count"
"RETSELA","Macroinvertebrate richness",2025,11,2026,NA,NA,NA,"count"
"SALARY","Macroinvertebrate richness",2025,NA,2026,14,NA,NA,"count"
"TANILAHY","Macroinvertebrate richness",2025,10,2026,NA,NA,NA,"count"
"TSANDAMBA","Macroinvertebrate richness",2025,NA,2026,3,NA,NA,"count"
"AMBATOMILO","Sea urchin density",2025,NA,2026,0.067,NA,NA,"ind/m²"
"AMBITIKY","Sea urchin density",2025,0.5,2026,NA,NA,NA,"ind/m²"
"AMBOHIBOLA","Sea urchin density",2025,0.208,2026,NA,NA,NA,"ind/m²"
"AMBOLA","Sea urchin density",2025,0.206,2026,NA,NA,NA,"ind/m²"
"AMBOLAFOTY","Sea urchin density",2025,0,2026,NA,NA,NA,"ind/m²"
"AMPASINDAVA","Sea urchin density",2025,NA,2026,0.758,NA,NA,"ind/m²"
"ANAKAO","Sea urchin density",2025,0.07,2026,NA,NA,NA,"ind/m²"
"ANDAVADOAKY","Sea urchin density",2025,NA,2026,0.6242,NA,NA,"ind/m²"
"ANDRAVONA","Sea urchin density",2025,NA,2026,0.798,NA,NA,"ind/m²"
"ANKARAMIFIOKY","Sea urchin density",2025,NA,2026,0,NA,NA,"ind/m²"
"BEFASY","Sea urchin density",2025,0.19,2026,NA,NA,NA,"ind/m²"
"BEHELOKY","Sea urchin density",2025,0.271,2026,NA,NA,NA,"ind/m²"
"BELAVENOKY","Sea urchin density",2025,NA,2026,0.774,NA,NA,"ind/m²"
"BEVATO","Sea urchin density",2025,NA,2026,0.039,NA,NA,"ind/m²"
"FIERENAMASAY","Sea urchin density",2025,NA,2026,1.158,NA,NA,"ind/m²"
"FITSITIKA","Sea urchin density",2025,0.0226666666666667,2026,NA,NA,NA,"ind/m²"
"IFATY","Sea urchin density",2025,0.0347826086956522,2026,NA,NA,NA,"ind/m²"
"ITAMPOLO","Sea urchin density",2025,0.205,2026,NA,NA,NA,"ind/m²"
"MANGILY","Sea urchin density",2025,0.0293333333333333,2026,NA,NA,NA,"ind/m²"
"MAROMENA","Sea urchin density",2025,0.514,2026,NA,NA,NA,"ind/m²"
"MOROMBE","Sea urchin density",2025,NA,2026,0.0105,NA,NA,"ind/m²"
"NOSY SATRA","Sea urchin density",2025,0.225,2026,NA,NA,NA,"ind/m²"
"RATAFENJIKA","Sea urchin density",2025,NA,2026,0.0473333333333333,NA,NA,"ind/m²"
"RETSELA","Sea urchin density",2025,0.168,2026,NA,NA,NA,"ind/m²"
"SALARY","Sea urchin density",2025,NA,2026,0.3165,NA,NA,"ind/m²"
"TANILAHY","Sea urchin density",2025,0.014,2026,NA,NA,NA,"ind/m²"
"TSANDAMBA","Sea urchin density",2025,NA,2026,0.454,NA,NA,"ind/m²"
